#Week,#Day,Date,seq,Code,Sub_Course_Name,Title,Description,More_Details (main points),Objective,type,general_type,Original Link (Drive/Dropbox/External),Shorten Link (if need),Display_link (github/Others),Previous Bootcamp Display Links,Phase,Skill,DS_step,Unit
1,2,27/1/2025,5,DS011,"Command Line 101, Git 101",CLI Lab,Provides a controlled environment where students can experiment with advanced data science tools and techniques under the guidance of the instructor or teaching assistants.,we should mention due date,"- Enable students to gain practical experience with advanced data science tools and techniques.
- Offer a structured environment where students can delve into complex data science concepts and methodologies.
- Offer personalized guidance and support to students, addressing queries, and offering assistance to overcome obstacles.",Lab,Practical exercise,https://www.dropbox.com/scl/fo/qxy1ghobesp3gc4q0yrez/AJ8UmAMsdU48XAx91Uo-rfQ?rlkey=21idhflpf116uico4dz1f5szt&st=ip858qrc&dl=0,,,https://github.com/Tuwaiq-DS-ML-bootcamp-V-8/Day-2/blob/main/CLI_Lab.pdf,Preparation Phase,Software engineering,Step 8: Model Deployment,Unit 1: Programming Fundamentals
1,2,27/1/2025,6,DS012,Programming Fundamental  using Python,Programming Skills Evaluation,An evaluation crafted to determine a student's current level of programming skills in python prior to starting a data science program,they should do it and send screenshot of their result on discord as direct msg for TA,"- Determine students' current proficiency levels in Python.
- Identify students' strengths and weaknesses in programming.
- Engaging students in self-assessment and goal-setting processes.",Self Assessment,Assessment,https://assessment-v2.datacamp.com/coding-for-production-python?returnUrl=https://app.datacamp.com/learn/assessments,https://shorturl.at/Yubq2,,https://shorturl.at/Yubq2,Preparation Phase,Programming,-,Unit 1: Programming Fundamentals
1,2,27/1/2025,7,DS019,"Command Line 101, Git 101",Git&Github - Lab,Provides a controlled environment where students can experiment with advanced data science tools and techniques under the guidance of the instructor or teaching assistants.,we should mention due date,"- Enable students to gain practical experience with advanced data science tools and techniques.
- Offer a structured environment where students can delve into complex data science concepts and methodologies.
- Offer personalized guidance and support to students, addressing queries, and offering assistance to overcome obstacles.",Lab,Practical exercise,https://www.dropbox.com/home/Esraa%20Madhi/DataScience%20%26%20MachineLearning%20Bootcamp%202024%20-%20Content/Week1/Practical/DS019-Lab(Git%26Github)?di=left_nav_browse,,,https://github.com/Tuwaiq-DS-ML-bootcamp-V-8/Day-2/blob/main/Git_Labs.pdf,Preparation Phase,Software engineering,Step 8: Model Deployment,Unit 1: Programming Fundamentals
1,3,28/1/2025,1,DS013,Real-World Insights from a Data Science Expert,What data scientists say over world?,Let's spend the next 15 minutes reviewing what data scientists around the world are saying about the field and learning from their insights.,,"- Understand Diverse Perspectives
- Learn About Real-World Applications
- Inspire Critical Thinking and Innovation
- Boosting Analytical Discussions",Penguin Activity,Activity,https://www.linkedin.com/posts/andrew-jones-dsi_datascience-analytics-data-activity-7156287789955760128-2fBK/?utm_source=share&utm_medium=member_desktop,,,https://shorturl.at/gvKP2,Preparation Phase,Machine learning models,"Step 5:  Building Machine Learning Models, Step 6: Model Evaluation",Unit 1: Programming Fundamentals
1,3,28/1/2025,2,DS010,Git 101,Interactive activity 2 (Git),"Involves dynamic engagement where students participate in discussions, quizzes, or collaborative problem-solving exercises.",individual on board or (one should answer from each group),"- Encourage students to actively engage with course content.
- Stimulate students' critical thinking skills.
- Develop students' communication skills by encouraging them to articulate their thoughts, ideas, and solutions.",Interactive Activity,Activity,https://www.dropbox.com/scl/fi/wqeuoatbhpaym1otbsmpk/4-5-Interactive-Practice-NOT-UPLOAD.paper?rlkey=q2e99bbpvy94eua0ygu5mukdg&st=ecvvvwlh&dl=0,"https://www.w3schools.com/git/#:~:text=on%20the%20right%3A-,Git%20Exercises,-Test%20Yourself%20With",,https://shorturl.at/dloBZ,Preparation Phase,Software engineering,Step 8: Model Deployment,Unit 1: Programming Fundamentals
1,3,28/1/2025,3,DS016,Programming Fundamental  using Python,Python fundamental (Hands-on Session 1),"Explore the core concepts of Python in this foundational lesson, where you'll learn syntax, control structures, and data handling.","- Explain ide from pdf 
- Go through first column excersie in the pdf
- Concepts 1-11
- divide groups , give them 30 min , each group expain in 5 mins column 2 excersice for the same concepts
- for the same groups give them concepts from 12 - 17 to explain tomorrow","- Introduce Python syntax and basic programming concepts.
- Understand and implement Python's built-in data types.
- Enhance Teamwork skills by working collaboratively in groups to foster communication and cooperation.
- Develop Presentation Skills
- Prepare students for real-world challenges they may encounter in their future careers.",Hands-on_Session,Practical exercise,https://www.dropbox.com/scl/fi/6pkxgfz3ncrm7grt5od1g/1-Python-fundamental-Hands-on-Session.paper?rlkey=m21wiecqf2pwgja7388uiovpq&st=4840axut&dl=0,,,https://github.com/Tuwaiq-DS-ML-bootcamp-V-8/Day-3/blob/main/DS016-_Python_fundamental_(Hands-on_Session).pdf,Preparation Phase,Programming,Step 3: Data Quality Checking and Remediation,Unit 1: Programming Fundamentals
1,3,28/1/2025,4,DS017,Programming Fundamental  using Python,Interactive activity 1,"Involves dynamic engagement where students participate in discussions, quizzes, or collaborative problem-solving exercises.","group activity, column 2 , 3 in the pdf","- Encourage students to actively engage with course content.
- Stimulate students' critical thinking skills.
- Develop students' communication skills by encouraging them to articulate their thoughts, ideas, and solutions.",Interactive Activity,Activity,,,,https://github.com/Tuwaiq-DS-ML-bootcamp-V-8/Day-3/blob/main/DS016-_Python_fundamental_(Hands-on_Session).pdf,Preparation Phase,"Programming, Soft Skills",Step 3: Data Quality Checking and Remediation,Unit 1: Programming Fundamentals
1,3,28/1/2025,5,DS018,Programming Fundamental  using Python,Python Skills Evaluation,Test Your programming skills (Test 1 & Test 4),"individual, they should send a screenshot for TAs","- Enable students to evaluate their own Python programming skills through a comprehensive self-assessment, fostering self-awareness of their strengths and areas for improvement, and guiding their future learning paths.",Self Assessment,Assessment,https://www.tutorialsteacher.com/online-test/python-test,,,https://www.tutorialsteacher.com/online-test/python-test,Preparation Phase,Programming,Step 3: Data Quality Checking and Remediation,Unit 1: Programming Fundamentals
1,3,28/1/2025,6,DS020,Programming Fundamental  using Python,Python - Lab 1,Provides a controlled environment where students can experiment with advanced data science tools and techniques under the guidance of the instructor or teaching assistants.,,"-  Learn to write Python programs to handle numerical and text data, using variables to store values and lists to organize data effectively.",Lab,Practical exercise,https://www.dropbox.com/scl/fo/jvijwo9nl6ehqbilnjhpl/AOEjJXSvNPsKwCA13fbwpC0?rlkey=7dcybn843bzylaadhjctwc5l7&st=whiftkuh&dl=0,https://www.dropbox.com/scl/fo/jvijwo9nl6ehqbilnjhpl/AOEjJXSvNPsKwCA13fbwpC0?rlkey=7dcybn843bzylaadhjctwc5l7&st=whiftkuh&dl=0,,https://github.com/Tuwaiq-DS-ML-bootcamp-V-8/Day-3/tree/main/Labs,Preparation Phase,Programming,Step 3: Data Quality Checking and Remediation,Unit 1: Programming Fundamentals
1,4,29/1/2025,1,DS021,Programming Fundamental  using Python,Code Challenge,30-minute coding challenge to enhance students' Python programming skills,,"- Reinforce Python Syntax and Basics
- Problem-Solving and Algorithmic Thinking
- Practice with Control Structures
- Enhance Debugging Skills",Penguin Activity,Activity,https://www.hackerrank.com/challenges/python-mutations/problem?isFullScreen=true,https://shorturl.at/lxEcm,,https://shorturl.at/lxEcm,Preparation Phase,Programming,Step 3: Data Quality Checking and Remediation,Unit 1: Programming Fundamentals
1,4,29/1/2025,2,DS022,Programming Fundamental  using Python,Python fundamental (Hands-on Session 2),Build a strong base for advanced programming with hands-on usecase and practical examples,- each group explain his concept in 10 mins,"- Enhance Teamwork skills by working collaboratively in groups to foster communication and cooperation.
- Develop Presentation Skills
- Prepare students for real-world challenges they may encounter in their future careers.",Hands-on_Session,Practical exercise,"https://www.dropbox.com/scl/fi/6pkxgfz3ncrm7grt5od1g/1-Python-fundamental-Hands-on-Session.paper?rlkey=m21wiecqf2pwgja7388uiovpq&st=4840axut&dl=0

https://www.dropbox.com/scl/fi/gw9inoh0j6sjowlf4sy5i/2-Essential-Tips-and-Tricks-for-Effective-Python-Programming.paper?rlkey=5432tvyicr8qeyrxnezrnbx2h&dl=0",,,https://github.com/Tuwaiq-DS-ML-bootcamp-V-8/Day-4,Preparation Phase,Programming,Step 3: Data Quality Checking and Remediation,Unit 1: Programming Fundamentals
1,4,29/1/2025,3,DS023,Programming Fundamental  using Python,Project 1,Project introduction,- give them the rest of class to discuss the project,TBD,Usecase - Project,Usecases,https://www.dropbox.com/scl/fo/i95wtq1tzwyazcq98bt8i/ANYau8ds2-J3OgRqaPYcoxk?rlkey=wh1y8ea6an8cv31x5v4ja5bze&st=g0pvci5o&dl=0,,,https://github.com/Tuwaiq-DS-ML-bootcamp-V-8/Project_1_Python,Preparation Phase,Programming,Step 3: Data Quality Checking and Remediation,Unit 1: Programming Fundamentals
1,4,29/1/2025,4,DS024,Programming Fundamental  using Python,Python - Lab 2,Provides a controlled environment where students can experiment with advanced data science tools and techniques under the guidance of the instructor or teaching assistants.,"lab 2.1
lab 2.2","-  Learn to write Python programs to handle numerical and text data, using variables to store values and lists to organize data effectively.",Lab,Practical exercise,https://www.dropbox.com/scl/fo/byfl109ua8yc3frjidfko/AEoAVUKtLV1YsyBwpGFbRys?rlkey=o9nzu24tpwge86xecz94f90te&st=talp623m&dl=0,,,https://github.com/Tuwaiq-DS-ML-bootcamp-V-8/Day-4/tree/main/Labs,Preparation Phase,Programming,Step 3: Data Quality Checking and Remediation,Unit 1: Programming Fundamentals
1,4,29/1/2025,5,DS018,Programming Fundamental  using Python,Python Skills Evaluation,Test Your programming skills (Test 6 & Test 7),"individual, they should send a screenshot for TAs","- Enable students to evaluate their own Python programming skills through a comprehensive self-assessment, fostering self-awareness of their strengths and areas for improvement, and guiding their future learning paths.",Self Assessment,Assessment,https://www.tutorialsteacher.com/online-test/python-test,,,https://www.tutorialsteacher.com/online-test/python-test,Preparation Phase,Programming,Step 3: Data Quality Checking and Remediation,Unit 1: Programming Fundamentals
1,4,29/1/2025,6,DS015,Git 101,Hands-on Session - GitHub for Bootcamp’s Content (Labs & Lessons),,"Group Activity
1- ask to implement step 1 with repo of Day 2
2- ask to implement step 2 with add their solution of CLI lab
3- ask to implement step 3 after i add a file",- Guide students.,Side_session,Session,https://docs.google.com/document/d/1JKY9Mhu9dYb5MWZdzH1LeikFZPzKFZUt/edit?usp=sharing&ouid=112296633982469490942&rtpof=true&sd=true,,,https://github.com/Tuwaiq-DS-ML-bootcamp-V-8/Day-3/blob/main/3-_GitHub_for_Bootcamp%E2%80%99s_Content_(Labs%2C_Usecases_%26%20Lessons.pdf,Preparation Phase,Software engineering,Step 8: Model Deployment,Unit 1: Programming Fundamentals
1,5,30/1/2025,1,DS026,Programming Fundamental  using Python,Code Challenge,30-minute coding challenge to enhance students' Python programming skills,,"- Reinforce Python Syntax and Basics
- Problem-Solving and Algorithmic Thinking
- Practice with Control Structures
- Enhance Debugging Skills",Penguin Activity,Activity,https://www.hackerrank.com/challenges/list-comprehensions/problem?isFullScreen=true,,,https://shorturl.at/hu3k6,Preparation Phase,Programming,Step 3: Data Quality Checking and Remediation,Unit 1: Programming Fundamentals
1,5,30/1/2025,2,DS027,Programming Fundamental  using Python,Python Day Exercise,Build a strong base for advanced programming with hands-on usecase and practical examples,,,Interactive Activity,Activity,https://www.dropbox.com/scl/fo/6ve7gxxjh8a4lr5d7fc0q/AD7JBOkVvs3MFZyC-8dMDjY?rlkey=glfuej7h7du163p8gcqadjb3k&st=i96sqe9n&dl=0,,,https://github.com/Tuwaiq-DS-ML-bootcamp-V-8/Day-5/blob/main/2-Python_Groups_Hands-on.ipynb,Preparation Phase,Programming,Step 3: Data Quality Checking and Remediation,Unit 1: Programming Fundamentals
1,5,30/1/2025,3,DS028,Programming Fundamental  using Python,Python - Lab 3,Provides a controlled environment where students can experiment with advanced data science tools and techniques under the guidance of the instructor or teaching assistants.,Lab 3,"-  Learn to write Python programs to handle numerical and text data, using variables to store values and lists to organize data effectively.",Lab,Practical exercise,https://www.dropbox.com/scl/fo/xgvl88t9clt6nn25l184a/APo8p0a6Fcu_6azueDjZfco?rlkey=f3dpn44qz6xzpg2nw7ydjowxy&st=a0d1ix1v&dl=0,,,https://github.com/Tuwaiq-DS-ML-bootcamp-V-8/Day-5/blob/main/Labs/Python_Lab_3.ipynb,Preparation Phase,Programming,Step 3: Data Quality Checking and Remediation,Unit 1: Programming Fundamentals
1,5,30/1/2025,4,DS012,Programming Fundamental  using Python,Programming Skills Evaluation,Test Your programming skills,"individual, they should send a screenshot for TAs","- Enable students to evaluate their own Python programming skills through a comprehensive self-assessment, fostering self-awareness of their strengths and areas for improvement, and guiding their future learning paths.",Self Assessment,Assessment,https://assessment-v2.datacamp.com/coding-for-production-python?returnUrl=https://app.datacamp.com/learn/assessments,,,https://shorturl.at/Yubq2,Preparation Phase,Programming,Step 3: Data Quality Checking and Remediation,Unit 1: Programming Fundamentals
1,5,30/1/2025,5,DS030,Programming Fundamental  using Python,Week Activity,"Review the week's content, reinforcing understanding through interactive activity while encouraging teamwork and identifying areas for further review.",,"- Review the week's content, reinforcing understanding through interactive activity while encouraging teamwork and identifying areas for further review.",Week Activity,Activity,https://www.dropbox.com/scl/fi/jg3n17tdw3aqnr15fy9e5/Buzz.pptx?rlkey=q6p5atxl6uercjm69li0hys5d&st=17gaxys2&dl=0,https://shorturl.at/eSODF,,https://kahoot.it/,Preparation Phase,"Programming, Data Manipulation and Analysis (working with data)","Step 3: Data Quality Checking and Remediation, Step 4: Exploratory Data Analysis",Unit 1: Programming Fundamentals
2,1,2/2/2025,2,DS023,Programming Fundamental  using Python,Project 1,Project Review: Each team will present for 5 minutes.,Project Review: Each team will present for 5 minutes.,"- Provide students with the opportunity to practice and improve their public speaking and presentation skills
- Require students to think critically about their project, including its goals, methodology, results, and significance
- Allow students to learn from each other’s projects, gaining insights into different approaches, challenges, and solutions
- Give students a platform to showcase their hard work, progress, and achievements
- Promote teamwork and collaboration
- Teach students the importance of time management
- nstill a sense of professionalism, as students must present their work in a clear, organized, and professional manner",Usecase - Project,Usecases,https://www.dropbox.com/scl/fo/i95wtq1tzwyazcq98bt8i/ANYau8ds2-J3OgRqaPYcoxk?rlkey=wh1y8ea6an8cv31x5v4ja5bze&st=pmpcdc5j&dl=0,,,https://github.com/Tuwaiq-DS-ML-bootcamp-V-8/Project_1_Python,Preparation Phase,Programming,Step 3: Data Quality Checking and Remediation,Unit 2: Data Analysis Fundamentals
2,1,2/2/2025,3,DS034,Programming Fundamental  using Python,Team work assissment,Coonduct a survey to evaluate the collaboration within teams during the project and whether team members met each other expectations,,TBD,Self Assessment,Assessment,https://forms.gle/jDhs9y2NtbXJuqxe8,,,https://forms.gle/jDhs9y2NtbXJuqxe8,Preparation Phase,Soft Skills,- ,Unit 2: Data Analysis Fundamentals
2,1,2/2/2025,4,DS035,Programming Fundamental  using Python,Python Libraries ,"Explore how Python packages and libraries streamline coding by reusing code, and learn about package repositories like PyPI and Anaconda that facilitate access to a vast range of tools for efficient development.",- explain the first pdf,"- Enable students to understand how Python packages and libraries streamline coding through code reuse and familiarize them with package repositories like PyPI and Anaconda, which provide access to a wide array of tools for efficient and effective development.",Main_session,Session,https://www.dropbox.com/scl/fi/egoqv51nxqqa1rwgo9a3r/2-Python-Libraries.paper?rlkey=haq93d61ova0r7cg1unrhwoq0&st=fxujp3a4&dl=0,,,https://github.com/Tuwaiq-DS-ML-bootcamp-V-8/Day-6/blob/main/DS035-_Python_Libraries.pdf,Preparation Phase,"Programming, Data Manipulation and Analysis (working with data)","Step 3: Data Quality Checking and Remediation, Step 4: Exploratory Data Analysis",Unit 2: Data Analysis Fundamentals
2,1,2/2/2025,5,DS038,Programming Fundamental  using Python,Python Libraries (Numpy),This lesson gently guides you through the basics of NumPy arrays and equips you with the knowledge to perform efficient numerical operations.,explain Visual Intro to NumPy of jay + open jupyter notebook to apply the same concepts from Jay artical,"- Grasp the fundamentals of NumPy arrays and their attributes.
- Learn simple array calculations and the power of vectorization.
- Understand array indexing, slicing, and iteration.
- Get acquainted with advanced array operations and data manipulation.",Main_session,Session,"https://www.dropbox.com/scl/fi/vb72mokkshuom468x1lyx/3-NumPy.paper?rlkey=q709s2ctdj9r5drwyrh70qabc&st=xt85u6s3&dl=0

https://www.dropbox.com/scl/fi/d84h5a9fi4yue6q9wmnhr/5-Visual-Intro-to-NumPy.paper?rlkey=brpizo6wbbidjcvme7zggno2u&st=1hn6vf84&dl=0

https://www.dropbox.com/scl/fi/2oq6nay8h5uyikr9xlfc1/5-N-Dimensional-Array.paper?rlkey=p22s34w2yc0ywddvmuldl6dru&st=jbdcvknj&dl=0",,,https://github.com/Tuwaiq-DS-ML-bootcamp-V-8/Day-6,Preparation Phase,"Programming, Data Manipulation and Analysis (working with data)","Step 3: Data Quality Checking and Remediation, Step 4: Exploratory Data Analysis",Unit 2: Data Analysis Fundamentals
2,1,2/2/2025,6,DS039,Programming Fundamental  using Python,Numpy (Hands-on Session),Students will apply the concepts and techniques they've learned in the main session to real-world problems,,"- Enable students to transfer theoretical knowledge into practical skills.
- Develop students' problem-solving abilities.
- Prepare students for real-world challenges they may encounter in their future careers.",Hands-on_Session,Practical exercise,"https://www.dropbox.com/scl/fi/rtwf9wug2ek7ym4tu8gcr/6-Numpy_visual_tutorial_Solution.ipynb?rlkey=5rmoapar9fs1fr7o8s3lf9t2g&st=ru0t23wb&dl=0

https://www.dropbox.com/scl/fi/yugr37rmjezjvteahel67/6-Numpy_visual_tutorial_NotUploaded.ipynb?rlkey=sblwbuu4zz8r630zjro3yqqz7&st=y31urg2z&dl=0",,,https://github.com/Tuwaiq-DS-ML-bootcamp-V-8/Day-6,Preparation Phase,"Programming, Data Manipulation and Analysis (working with data)","Step 3: Data Quality Checking and Remediation, Step 4: Exploratory Data Analysis",Unit 2: Data Analysis Fundamentals
2,1,2/2/2025,7,DS031,Engagement Content,Week Champion Announcement,,,"- Encourage students to write clean, efficient, and well-documented code
- Encourage students to help each other
- Inspire students to continuously improve their skills and knowledge
- Create an environment where students feel supported and encouraged to seek help and offer assistance
- Instill the value of healthy competition where students strive to do their best while maintaining respect and support for their peers.",Side_session,Session,,,,,Preparation Phase,-,-,Unit 2: Data Analysis Fundamentals
2,2,3/2/2025,1,DS037,Real-World Insights from a Data Science Expert,What data scientists say over world?,Let's spend the next 15 minutes reviewing what data scientists around the world are saying about the field and learning from their insights.,,"- Understand Diverse Perspectives
- Learn About Real-World Applications
- Inspire Critical Thinking and Innovation
- Boosting Analytical Discussions",Penguin Activity,Activity,https://shorturl.at/yALSU,,,https://shorturl.at/yALSU,Preparation Phase,Data Science Methodology & Literacy,-,Unit 2: Data Analysis Fundamentals
2,2,3/2/2025,2,DS040,Programming Fundamental  using Python,Interactive activity,White Board activity - 4 groups,"- Divide class to 4 groups and each group has a white board, there is a jar full with question , each team take question to write answer on the board , the winner is the team with largest number of correct answers","- Engage students in a collaborative and competitive activity to reinforce their Pandas knowledge and skills 
- Enhancing their understanding and retention of key concepts through teamwork and active participation
- Stimulate students' critical thinking skills
- Develop students' communication skills by encouraging them to articulate their thoughts, ideas, and solutions",Interactive Activity,Activity,https://www.dropbox.com/scl/fi/vxibglvlql4h59u7nphsj/Interactive-Activity-Numpy.paper?rlkey=6x37o24tnn1l8tgabsy7nsovy&dl=0,,,,Preparation Phase,"Programming, Data Manipulation and Analysis (working with data)","Step 3: Data Quality Checking and Remediation, Step 4: Exploratory Data Analysis",Unit 2: Data Analysis Fundamentals
2,2,3/2/2025,3,DS044,Programming Fundamental  using Python,Pandas,"This lesson introduces the key features of Pandas, helping you to manage data with confidence and ease.",- explain the pdf,"- Familiarize the students with Pandas Series and DataFrame data structures.
- Develop skills in sorting, filtering, and transforming data.
- Work through practical examples of data aggregation and grouping.
- Gain experience with importing and exporting data in various formats.",Main_session,Session,https://www.dropbox.com/scl/fi/rluaye2rshqlp8f86llig/Pandas.paper?rlkey=diz2egrcwfpmkc29v70s6e67w&st=pa9otr89&dl=0,,,https://github.com/Tuwaiq-DS-ML-bootcamp-V-8/Day-7/blob/main/DS044-Pandas.pdf,Preparation Phase,"Programming, Data Manipulation and Analysis (working with data)","Step 3: Data Quality Checking and Remediation, Step 4: Exploratory Data Analysis",Unit 2: Data Analysis Fundamentals
